wave	name_CW	packet_name_1	packet_name_2	name_TGRC	name_CC	name_EA	name_PI	name_TS	name_BGV	name_FLA	name_LYC	name_TR	name_other	name_original_alonge	name_original_razifard	part_of_razifard	part_of_alonge	species	alonge_species	Taxon	SV Count	SV Collector Rank	SRA ID	Yield (bp)	Assigned_population	Country	Province	Collecting_locality	Local_name	Notes_from_original_collections	Latitude	Longitude	fresh_weight_(g)	dry_weight_(%)	locule_number_(count)	pericarp_thickness_(mm)	soluble_solids_(Brix)	beta-carotene_(mg/g_tissue)	lycopene_(mg/g_tissue)	citric_acid_(mg/g_tissue)	malic_acid_(mg/g_tissue)	glucose_(mg/g_tissue)	fructose_(mg/g_tissue)	alpha-tomatine_(mg/g_tissue)	dehydrotomatine_(mg/g_tissue)
1	CW0000	LA4345		LA4345									Heinz			FALSE	FALSE	lycopersicum	SLL																										
1	CW0001	LA0490		LA0490									VF-36			FALSE	FALSE	lycopersicum	SLL																										
1	CW0002	LA1994		LA1994									Tamaulipas			FALSE	FALSE	lycopersicum	SLL																										
1	CW0003	LA2661		LA2661									Nagcarlang			FALSE	FALSE	lycopersicum	SLL																										
1	CW0004	LA3120		LA3120									Malintka			FALSE	FALSE	lycopersicum	SLL																										
1	CW0005	LA4355		LA4355									Gold Nugget			FALSE	FALSE	lycopersicum	SLL																										
1	CW0006	LA2375		LA2375									San Marzano			FALSE	FALSE	lycopersicum	SLL																										
1	CW0007	LA3320		LA3320									Hotset			FALSE	FALSE	lycopersicum	SLL																										
1	CW0008	LA4792	Tegucigalpa	LA4792									Tegucigalpa		Tegucigalpa	TRUE	FALSE	lycopersicum							SLL	unknown	unknown	unknown	unknown	cultivar	unknown	unknown	22.5475	7.857142857	2.1375000000000002	4.5154722219999996	6	0.84751827300000004	41.280460890000001	4.3320754719999996	0.23961352699999999	16.98245614	18.399999999999999	8.9366000000000001E-4	1.5608500000000001E-4
1	CW0009	PI378994					PI378994							PI378994	PI378994	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	26358	3	SRR10343551	50113648717	unassigned	PER	Lima	unknown	unknown	no info	unknown	unknown	3.93797619	9.15066695	3.0946428570000002	1.366545455	5	1.1165386070000001	21.772573009999999	5.3230769230000003	0.348325359	10.443636359999999	16.266666669999999	9.56776E-4	1.3021500000000001E-4
